 Product ID , Product Description 
---,---
90003B,ROSE COLOUR PAIR HEART HAIR SLIDES
90173,PAIR BUTTERFLY HAIR CLIPS
90174,BUTTERFLY HAIR BAND
90112,PINK DOLLY HAIR CLIPS
90168,2 DAISIES HAIR COMB
90059A,DIAMANTE HAIR GRIP PACK/2 CRYSTAL
90059D,DIAMANTE HAIR GRIP PACK/2 PERIDOT
90170,DAISY HAIR BAND
90108,BLUE BLOSSOM HAIR CLIP
90209C,PINK ENAMEL+GLASS HAIR COMB
90059E,DIAMANTE HAIR GRIP PACK/2 RUBY
90059C,DIAMANTE HAIR GRIP PACK/2 MONTANA
90209A,PURPLE ENAMEL+GLASS HAIR COMB
16161G,WRAP BAD HAIR DAY
90059B,DIAMANTE HAIR GRIP PACK/2 BLACK DIA
90169,DAISY HAIR COMB
90003D,CRYSTAL PAIR HEART HAIR SLIDES
90204,PAIR OF ENAMEL BUTTERFLY HAIRCLIP
90209B,GREEN ENAMEL+GLASS HAIR COMB
90202D,PINK ENAMEL FLOWER HAIR TIE
90059F,DIAMANTE HAIR GRIP PACK/2 LT ROSE
22319,HAIRCLIPS FORTIES FABRIC ASSORTED
90205C,LARGE CRYSTAL DIAMANTE HAIRSLIDE
22565,FELTCRAFT HAIRBANDS PINK AND WHITE
90202B,WHITE ENAMEL FLOWER HAIR TIE
90202A,PURPLE ENAMEL FLOWER HAIR TIE
90003E,GREEN PAIR HEART HAIR SLIDES
90102,WHITE FRANGIPANI HAIR CLIP
90202C,GREEN ENAMEL FLOWER HAIR TIE
22566,FELTCRAFT HAIRBAND PINK AND PURPLE
22586,FELTCRAFT HAIRBAND PINK AND BLUE
22587,FELTCRAFT HAIRBAND RED AND BLUE
90005A,JADE GREEN ENAMEL HAIR COMB
90104,PURPLE FRANGIPANI HAIRCLIP
90003C,MIDNIGHT BLUE PAIR HEART HAIR SLIDE
20678,LARGE BLACK DIAMANTE HAIRSLIDE
90208,PAIR OF PINK FLOWER CLUSTER SLIDE
